name,sku,price_net,stock,category,description,image_path,active
BANANA MACHO,BM-4MM-SC_GL,300,17,conectores,CONECTOR JACK TERMINAL BORNE CONEXION &nbsp;,products/BM-4MM-SC_GL.jpg,True
FASTON 22-16 AWG 2.8 MM (20U),F2216R_GL,1100,7,aisladores,TERMINAL FASTON ROJO HEMBRA-MACHO 2.8 MM | 22-16 AWG CONECTOR,products/F2216R_GL.jpg,True
FASTON 22-16 AWG 6.3 MM (15U),F2216RHA_GL,1100,3,aisladores,TERMINAL FASTON ROJO HEMBRA AISLADO 6.3MM | 22-16 AWG CONECTOR,products/F2216RHA_GL.jpg,True
FASTON 22-18 AWG 6.3 MM (20U),F2218M_GL,2900,6,aisladores,TERMINAL FASTON MACHO 6.3MM | 22-18 AWG CONECTOR,products/F2218M_GL.jpg,True
FASTON 16-14 AWG 6.3 MM (13U),F1614M_GL,1900,1,aisladores,TERMINAL FASTON MACHO 6.3MM | 16-14 AWG CONECTOR,products/F1614M_GL.jpg,True
CONECTOR EMPALME RÁPIDO 6 VÍAS,KV773-106_GL,400,20,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/KV773-106_GL.jpg,True
CONECTOR EMPALME RÁPIDO 8 VÍAS,KV773-108_GL,500,12,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/KV773-108_GL.jpg,True
CONECTOR RÁPIDO 2X6,LT623_GL,1500,49,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/LT623_GL.jpg,True
CONECTOR RÁPIDO 3X9,LT933_GL,2100,19,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/LT933_GL.jpg,True
CONECTOR RÁPIDO 2X2,PCT-222_GL,600,19,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/PCT-222_GL.jpg,True
TBLOCK 1X4 2.54 150V 6A,RS120-2.54X4_GL,120,264,electronica,CONECTOR BLOCK TERMINAL BLOQUE SCREW TERMINAL BONERA,products/RS120-2.54X4_GL.jpg,True
TBLOCK 1X6 M-H 5.08 300 V 15A,HR2EDG-5.08X6_GL,1000,50,electronica,CONECTOR BLOCK TERMINAL BLOQUE SCREW TERMINAL BONERA,products/HR2EDG-5.08X6_GL.jpg,True
TBLOCK 1X2 M-H 5.08 300 V 15A,HR2EDG-5.08X2_GL,800,96,electronica,CONECTOR BLOCK TERMINAL BLOQUE SCREW TERMINAL BONERA,products/HR2EDG-5.08X2_GL.jpg,True
CONECTOR EMPALME RÁPIDO 4 VÍAS,KV773-104_GL,300,24,adaptadores,BORNE; EMPALME; SPLICING; UNIÓN; WAGO; PUSH IN; WALL NUTS,products/KV773-104_GL.jpg,True
TBLOCK 1X3 2.54 150V 6A,RS120-2.54X3_GL,110,232,electronica,CONECTOR BLOCK TERMINAL BLOQUE SCREW TERMINAL BONERA,products/RS120-2.54X3_GL.jpg,True
PIN HEADER HEMBRA 1X40 (10U),PH1X40H_GL,3000,15,conectores,HEMBRA; ARDUINO; PINES; PIN; HEADER; PACK; ANGULADO; 90 GRADOS,products/PH1X40H_GL.jpg,True
PIN HEADER MACHO 2X40 (10U),PH2X40_GL,4000,20,conectores,MACHO; ARDUINO; PINES; PIN; HEADER; PACK; DOBLE,products/PH2X40_GL.jpg,True
PIN HEADER MACHO 2X40 90° (10U),PH2X40-90_GL,4000,39,conectores,MACHO; ARDUINO; PINES; PIN; HEADER; PACK; DOBLE; ANGULADO; 90 GRADOS,products/PH2X40-90_GL.jpg,True
COPLA USB H-H,CC722-USB_GL,1000,20,adaptadores,COPLA; ADAPTADOR; EMPALME; USB,products/CC722-USB_GL.jpg,True
TBLOCK 1X2 2.54 150V 6A,RS120-2.54_GL,100,253,electronica,CONECTOR BLOCK TERMINAL BLOQUE SCREW TERMINAL BONERA,products/RS120-2.54_GL.jpg,True
CABLE CONECTOR JST HEMBRA - MACHO DE 6P,JST-6P,1580,188,cables,,products/JST-6P.jpg,True
CONECTOR MOLEX HEMBRA 3P CON CABLE DE 30CM,MOLEX-3P,550,47,cables,,products/MOLEX-3P.jpg,True
CABLE CONECTOR JST DE 3P HEMBRA - MACHO,JST-3P,1395,198,cables,,products/JST-3P.jpg,True
CONECTOR MOLEX HEMBRA 4P CON CABLE DE 30CM,MOLEX-4P,650,50,cables,,products/MOLEX-4P.jpg,True
"FUENTE DE PODER LED 12V 400W 33,3AMP",LED-33.3,15500,5,electronica,,products/LED-33.3.jpg,True
FUENTE DE PODER LED 12V 8.5A 100W,149291,10000,10,alimentacion,,products/149291.jpg,True
FUENTE DE PODER 24V 100W  4.16A,149258,12522,2,electronica,ALIMENTACION; fuente; POWER; PODER,products/149258.jpg,True
KIT PROYECTO PARA ARMAR DE TRABAJADOR CON MOVIMIENTO,161105,5000,6,kits-educativos,,products/161105.jpg,True
KIT PROYECTO PARA ARMAR TANQUE CON MOVIMIENTO,TANK-KIT,4650,1,kits-educativos,,products/TANK-KIT.jpg,True
KIT PROYECTO PARA ARMAR VENTILADOR CON OSCILACIÓN,161083,5000,6,inicio,,products/161083.jpg,True
KIT PROYECTO PARA ARMAR MOLINO SOLAR CON MOVIMIENTO,,4650,0,kits-educativos,,products/.jpg,True
BOBINA PARA PROYECTO TESLA,,6000,9,arduino,,products/.jpg,True
CABLE PODER PULPO  1X8,CCTV-1X8_GL,3000,2,inicio,CABLE; SEGURIDAD; CAMARA; PULPO; SPLITTER,products/CCTV-1X8_GL.jpg,True
SOLMAFORO UV-15040-RGB-SLT-i,UV-15040-RGB-SLT-i,0,0,desarrollos,,products/UV-15040-RGB-SLT-i.jpg,True
SOLMAFORO UV-15040-RGB-SLT-E4G,UV-15040-RGB-SLT-E4G,0,0,desarrollos,,products/UV-15040-RGB-SLT-E4G.jpg,True
SOLMAFORO UV-15040-RGB-SLT-E4G+,UV-15040-RGB-SLT-E4G+,0,0,desarrollos,,products/UV-15040-RGB-SLT-E4G+.jpg,True
SOLMAFORO UV-15040-RGB-TR,UV-15040-RGB-TR,0,0,desarrollos,,products/UV-15040-RGB-TR.jpg,True
MODULO LM2596 REGULADOR DE VOLTAJE DC-DC,LM2596,1800,3,arduino,,products/LM2596.jpg,True
CAJA PLASTICA 200X120X75MM IP65 NEGRA,CHL180357,5900,24,cajas,,products/CHL180357.jpg,True
SOLDADURA 60/40 ⌀1.2 MM 250G SANKI,SANKI6040-1,21000,10,estano,,products/SANKI6040-1.jpg,True
CABLE CON CONECTOR JST - 5 PINES MACHO - HEMBRA,QTY-5P,2000,189,inicio,IMAGEN REFERENCIAL Los conectores JST XH de 5 pines son un sistema de conexión de cable a placa; confiable y de tamaño compacto. Se usan comúnmente en aplicaciones electrónicas de bajo costo; prototipos; baterías; equipos de audio y más.,products/QTY-5P.jpg,True
CONECTOR MOLEX 2P CON CABLE HEMBRA – MACHO,molex-2p,416,40,conectores,IMAGEN REFERENCIAL,products/molex-2p.jpg,True
CONECTOR DB15 HEMBRA,VGA-DB15,601,200,inicio,IMAGEN REFERENCIAL,products/VGA-DB15.jpg,True
CABLE CONECTOR JST DE 7P HEMBRA - MACHO,JST-7P,1899,190,conectores,,products/JST-7P.jpg,True
CABLE USB 2.0 TIPO B 30CM,USB-B-30_GL,1050,13,cables-electricidad,CABLE IMPRESORA,products/USB-B-30_GL.jpg,True
CABLE CONECTOR JSTDE 8P  HEMBRA - MACHO,JST-8P,2252,189,cables,,products/JST-8P.jpg,True
JUEGO DESTORNILLADOR RELOJERO 6PCS,MK-0599,2000,5,destornilladores,,products/MK-0599.jpg,True
SET CONECTOR ROSCA 158 PCS,W14610,5000,9,conectores,,products/W14610.jpg,True
