name,sku,price_net,stock,category,description,image_path,active
SOLMAFORO UV-15040-RGB-SLT-E4G,UV-15040-RGB-SLT-E4G,0,0,desarrollos,,products/UV-15040-RGB-SLT-E4G.jpg,True
SOLMAFORO UV-15040-RGB-SLT-E4G+,UV-15040-RGB-SLT-E4G+,0,0,desarrollos,,products/UV-15040-RGB-SLT-E4G+.jpg,True
SOLMAFORO UV-15040-RGB-TR,UV-15040-RGB-TR,0,0,desarrollos,,products/UV-15040-RGB-TR.jpg,True
MODULO LM2596 REGULADOR DE VOLTAJE DC-DC,LM2596,1800,3,arduino,,products/LM2596.jpg,True
CAJA PLASTICA 200X120X75MM IP65 NEGRA,CHL180357,5900,24,cajas,,products/CHL180357.jpg,True
SOLDADURA 60/40 ⌀1.2 MM 250G SANKI,SANKI6040-1,21000,10,estano,,products/SANKI6040-1.jpg,True
CABLE CON CONECTOR JST - 5 PINES MACHO - HEMBRA,QTY-5P,2000,189,inicio,"<p>IMAGEN REFERENCIAL</p> <p>Los conectores JST XH de 5 pines son un sistema de conexión de cable a placa, confiable y de tamaño compacto. Se usan comúnmente en aplicaciones electrónicas de bajo costo, prototipos, baterías, equipos de audio y más.</p>",products/QTY-5P.jpg,True
CONECTOR MOLEX 2P CON CABLE HEMBRA – MACHO,molex-2p,416,40,conectores,<p>IMAGEN REFERENCIAL</p>,products/molex-2p.jpg,True
CONECTOR DB15 HEMBRA,VGA-DB15,601,200,inicio,<p>IMAGEN REFERENCIAL</p>,products/VGA-DB15.jpg,True
CABLE CONECTOR JST DE 7P HEMBRA - MACHO,JST-7P,1899,190,conectores,,products/JST-7P.jpg,True
CABLE USB 2.0 TIPO B 30CM,USB-B-30_GL,1050,13,cables-electricidad,<p>CABLE IMPRESORA</p>,products/USB-B-30_GL.jpg,True
CABLE CONECTOR JSTDE 8P  HEMBRA - MACHO,JST-8P,2252,189,cables,,products/JST-8P.jpg,True
JUEGO DESTORNILLADOR RELOJERO 6PCS,MK-0599,2000,5,destornilladores,,products/MK-0599.jpg,True
SET CONECTOR ROSCA 158 PCS,W14610,5000,9,conectores,,products/W14610.jpg,True
CAJA SET TERMORETRÁCTIL 316 PCS,23920,4000,0,aisladores,,products/23920.jpg,True
MODULO LED 1X20 12V CON PROTECCIÓN 7CM,M12V-CP7,6200,7,iluminacion,,products/M12V-CP7.jpg,True
MODULO LED 3X20 12V,M12V-3LED,6000,20,iluminacion,,products/M12V-3LED.jpg,True
MODULO LED 1X20 12V SIN PROTECIÓN,M12V-SP,5800,32,iluminacion,,products/M12V-SP.jpg,True
MODULO LED 1X20 12V CON PROTECCIÓN 8.5CM,M12V-CP9,7200,16,iluminacion,,products/M12V-CP9.jpg,True
MODULO LED 1X20 12V CON PROTECIÓN,M12V-CP1X1,8000,10,iluminacion,,products/M12V-CP1X1.jpg,True
CLORURO FÉRRICO 1L,CLFR-1L,3000,5,quimicos-electronica,,products/CLFR-1L.jpg,True
KIT ARDUINO UNO - 68 PCS,KITUNO-68PCS,16000,0,arduino,,products/KITUNO-68PCS.jpg,True
PACK PORTA RELE PLÁSTICO (2U),COD.115004,2000,35,rele,,products/COD.115004.jpg,True
SET BASE DE CORTE,ME047-4,3000,3,kits-educativos,,products/ME047-4.jpg,True
RUEDA CON LLANTA DE GOMA PARA MOTOR DC,,1500,50,kits-educativos,,products/.jpg,True
ARDUINO UNO,,9000,0,arduino,,products/.jpg,False
SET BROCA FRESADORA 3- 4- 5- 6- 6.5- 8,,2700,2,brocas,"<p>BROCA, UNIVERSAL, 6, MM, METAL, FRESADORA, HSS</p>",products/.jpg,True
PAR CONECTOR CM4 MACHO-HEMBRA SOLAR,CHLMC4,1900,76,inicio,"<p>CONECTOR, REDONDO, PIN, 4, speaker</p>",products/CHLMC4.jpg,True
POTENCIÓMETRO P-104 PRECISIÓN 100K,I3-21-100,300,20,inicio,"<p>POTENCIOMETRO, AJUSTABLE, PESICION, P103</p>",products/I3-21-100.jpg,True
PORTA RELE CERÁMICO 12-24 V,RC12-24,2000,5,rele,,products/RC12-24.jpg,True
SOLDADURA M60 ⌀0.8MM 40G MECHANIC,m6040g,7000,10,estano,,products/m6040g.jpg,True
SOLDADURA ⌀1.2MM 60G JIX,JIX60G,3000,6,estano,,products/JIX60G.jpg,True
DISPLAY INDUSTRIAL DI-64128-420MA,DI-64128-420MA,0,0,desarrollos,,products/DI-64128-420MA.jpg,True
CRONOMETRO CR32128-CR,CR3296-SEN-1,0,0,cronometros,"<p>DEPORTIVO, CRONOMETRO, CONTROL, TIEMPO, CAMION, ACCESO, CRONO</p>",products/CR3296-SEN-1.jpg,True
SOLDADURA 63/37 ⌀1.0 MM 250G BAOQIN,17310-A,6000,0,estano,,products/17310-A.jpg,True
SOLDADURA 60/40 ⌀0.8 MM 250G SANKI,SANKI6040,21000,3,estano,,products/SANKI6040.jpg,True
KIT TERMORETRÁCTIL COLORES 16X120MM (10U),9367124,1000,7,aisladores,,products/9367124.jpg,True
PACK AG10 BATERIA ALCALINA 1.55V (10U),AG10,1600,15,alimentacion,,products/AG10.jpg,True
PACK BATERIA LITIO CR1220 MAXELL (5U),CR1220,3200,0,alimentacion,,products/CR1220.jpg,True
PILA 26650 GH 8800 mAh 4.2 V,,0,0,sin-categoria,"<p><br data-mce-bogus=""1""></p>",,False
CRONOMETRO 24/14 BASQUETBOL +60s,C24/14-3232+60,0,0,cronometros,"<p>BASQUETBOL, CRONOMETRO, 24/14, 24s, 14s, ataque, cronometro de ataque</p>",products/C24/14-3232+60.jpg,True
KIT TERMORETRÁCTIL COLORES 10U - PRE CORTADA,TER-010-1-1,600,10,aisladores,"<p>TUBO, CABLE, CONECTOR, metro, TERMORETRACTIL</p>",products/TER-010-1-1.jpg,True
PACK BATERIA SR626SW 1.55V HG0% MAXELL,SR626SWH0,2600,2,alimentacion,,products/SR626SWH0.jpg,True
PACK PILA 23A 12V (5U),23A12V,1600,4,inicio,"<p>PILA, 12v, alcalina, 27, 27A</p>",products/23A12V.jpg,True
PILA LITIO CR2450 3V ENERGIZER,CR2450,3000,5,alimentacion,,products/CR2450.jpg,True
MODULO MULTIPLEXOR HP4067,HP4067,2101,4,electronica,"<p>MODULO, RELOJ, RTC</p>",products/HP4067.jpg,True
MINI REPETIDOR WiFi LV-WR13,MR100-1,10000,2,electronica,"<p>MINI, AMPLIFICADOR, WIFI, ROTEADOR</p>",products/MR100-1.jpg,True
SENSOR HAZ INFRARROJO,MR100-1-1,7000,0,electronica,"<p>MINI, AMPLIFICADOR, WIFI, ROTEADOR</p>",products/MR100-1-1.jpg,True
FUENTE SW 12V 40A,FA-12V40A,21000,6,electronica,"<p>ALIMENTACION, 12v, fuente, 30A, POWER, SW, PODER, 360W</p>",products/FA-12V40A.jpg,True
CONTROL REMOTO UNIVERSAL DUPLICADOR,IRM_GL,0,19,inicio,,products/IRM_GL.jpg,True
BATERÍA 9V PHILIPS LONGLIFE,6F22L1B/97,2100,0,alimentacion,,products/6F22L1B/97.jpg,True
PILA LITIO 3V CR2 ENERGIZER,UPN-140603,2500,4,alimentacion,,products/UPN-140603.jpg,True
Marcador ScoreSHOW 420,ScoreSHOW-420,0,0,deportivo,<p>Marcador Multideportivo  de 100x330cm Full color alta definición</p>,products/ScoreSHOW-420.jpg,True
MARCADOR SCORESHOW-360A,ScoreShow-160-25-1,0,0,deportivo,,products/ScoreShow-160-25-1.jpg,True
PACK BATERIA LITIO CR2032 MAXELL (5U),,2100,9,alimentacion,,products/.jpg,True
MODULO DE RELOJ DS3231,RTC1307-1-1,800,3,electronica,"<p>MODULO, RELOJ, RTC</p>",products/RTC1307-1-1.jpg,True
MODULO RELE 5V X1,JQC-3FF-S-Z-P1-1-1,2000,28,inicio,"<p>ARDUINO, MODULO, RELE, 5V, 10A, PIC, RASPBERRY</p>",products/JQC-3FF-S-Z-P1-1-1.jpg,True
